"Jahr","QuarSort","QuarLang","KreisSort","KreisLang","ProjStatus","ProjAnzGbd","ProjKosten","ProjRauminhalt","ProjAnzWhg","Whg_1_3_Zi","Whg_4plus_Zi"
2009,11,"Rathaus",1,"Kreis 1","Fertigerstellt",1,0,1365,3,3,0
2009,11,"Rathaus",1,"Kreis 1","Im Bau",2,0,17690,0,0,0
2009,12,"Hochschulen",1,"Kreis 1","Im Bau",5,32000,42700,4,2,2
2009,14,"City",1,"Kreis 1","Bewilligt",1,0,135000,0,0,0
2009,14,"City",1,"Kreis 1","Im Bau",1,0,17000,0,0,0
2009,21,"Wollishofen",2,"Kreis 2","Bewilligt",2,0,8586,0,0,0
2009,21,"Wollishofen",2,"Kreis 2","Fertigerstellt",14,40251,91912,78,31,47
2009,21,"Wollishofen",2,"Kreis 2","Im Bau",11,36600,62022,73,30,43
2009,23,"Leimbach",2,"Kreis 2","Bewilligt",2,0,66533,81,74,7
2009,23,"Leimbach",2,"Kreis 2","Im Bau",19,77400,108424,194,96,98
2009,24,"Enge",2,"Kreis 2","Bewilligt",2,0,10222,13,6,7
2009,24,"Enge",2,"Kreis 2","Im Bau",4,30000,32300,14,7,7
2009,31,"Alt-Wiedikon",3,"Kreis 3","Bewilligt",12,90500,127776,119,89,30
2009,31,"Alt-Wiedikon",3,"Kreis 3","Fertigerstellt",0,15700,75360,0,0,0
2009,31,"Alt-Wiedikon",3,"Kreis 3","Im Bau",22,413200,423372,247,140,107
2009,33,"Friesenberg",3,"Kreis 3","Bewilligt",81,63490,113226,155,62,93
2009,33,"Friesenberg",3,"Kreis 3","Fertigerstellt",15,34000,59653,114,43,71
2009,33,"Friesenberg",3,"Kreis 3","Im Bau",2,0,217273,0,0,0
2009,34,"Sihlfeld",3,"Kreis 3","Bewilligt",23,77420,103515,154,36,118
2009,34,"Sihlfeld",3,"Kreis 3","Fertigerstellt",4,10300,12828,27,15,12
2009,34,"Sihlfeld",3,"Kreis 3","Im Bau",8,0,90150,166,92,74
2009,41,"Werd",4,"Kreis 4","Fertigerstellt",2,0,13160,24,12,12
2009,41,"Werd",4,"Kreis 4","Im Bau",1,0,45200,0,0,0
2009,42,"Langstrasse",4,"Kreis 4","Bewilligt",5,0,229123,31,31,0
2009,42,"Langstrasse",4,"Kreis 4","Fertigerstellt",0,0,23206,0,0,0
2009,42,"Langstrasse",4,"Kreis 4","Im Bau",7,254600,463280,8,0,8
2009,44,"Hard",4,"Kreis 4","Bewilligt",2,0,623282,119,115,4
2009,44,"Hard",4,"Kreis 4","Fertigerstellt",0,30000,34583,0,0,0
2009,44,"Hard",4,"Kreis 4","Im Bau",3,0,54566,68,49,19
2009,51,"Gewerbeschule",5,"Kreis 5","Bewilligt",3,0,27992,39,18,21
2009,51,"Gewerbeschule",5,"Kreis 5","Fertigerstellt",1,0,4147,4,1,3
2009,51,"Gewerbeschule",5,"Kreis 5","Im Bau",3,0,53448,7,5,2
2009,52,"Escher Wyss",5,"Kreis 5","Bewilligt",11,0,316301,258,216,42
2009,52,"Escher Wyss",5,"Kreis 5","Fertigerstellt",6,0,48790,38,27,11
2009,52,"Escher Wyss",5,"Kreis 5","Im Bau",23,0,1662876,687,336,351
2009,61,"Unterstrass",6,"Kreis 6","Bewilligt",1,0,4180,8,5,3
2009,61,"Unterstrass",6,"Kreis 6","Fertigerstellt",0,500,192,0,0,0
2009,61,"Unterstrass",6,"Kreis 6","Im Bau",19,74932,98264,138,39,99
2009,63,"Oberstrass",6,"Kreis 6","Bewilligt",7,0,19696,26,17,9
2009,63,"Oberstrass",6,"Kreis 6","Fertigerstellt",4,5161,5665,5,1,4
2009,63,"Oberstrass",6,"Kreis 6","Im Bau",9,52837,57992,29,18,11
2009,71,"Fluntern",7,"Kreis 7","Bewilligt",6,0,58865,23,9,14
2009,71,"Fluntern",7,"Kreis 7","Fertigerstellt",2,0,7800,7,2,5
2009,71,"Fluntern",7,"Kreis 7","Im Bau",30,118828,113384,111,63,48
2009,72,"Hottingen",7,"Kreis 7","Bewilligt",8,14430,11382,8,2,6
2009,72,"Hottingen",7,"Kreis 7","Fertigerstellt",6,56800,63920,67,61,6
