"StichtagDatJahr","QuarBisherSort","QuarBisherCd","QuarBisherLang","KreisBisherCd","QuarSort","QuarCd","QuarLang","KreisCd","AnzUmzuWir"
2021,11,"11","Rathaus","1",11,"11","Rathaus","1",66
2021,11,"11","Rathaus","1",12,"12","Hochschulen","1",6
2021,11,"11","Rathaus","1",13,"13","Lindenhof","1",14
2021,11,"11","Rathaus","1",14,"14","City","1",4
2021,11,"11","Rathaus","1",21,"21","Wollishofen","2",14
2021,11,"11","Rathaus","1",23,"23","Leimbach","2",1
2021,11,"11","Rathaus","1",24,"24","Enge","2",19
2021,11,"11","Rathaus","1",31,"31","Alt-Wiedikon","3",22
2021,11,"11","Rathaus","1",33,"33","Friesenberg","3",3
2021,11,"11","Rathaus","1",34,"34","Sihlfeld","3",20
2021,11,"11","Rathaus","1",41,"41","Werd","4",10
2021,11,"11","Rathaus","1",42,"42","Langstrasse","4",38
2021,11,"11","Rathaus","1",44,"44","Hard","4",16
2021,11,"11","Rathaus","1",51,"51","Gewerbeschule","5",19
2021,11,"11","Rathaus","1",52,"52","Escher Wyss","5",11
2021,11,"11","Rathaus","1",61,"61","Unterstrass","6",33
2021,11,"11","Rathaus","1",63,"63","Oberstrass","6",22
2021,11,"11","Rathaus","1",71,"71","Fluntern","7",4
2021,11,"11","Rathaus","1",72,"72","Hottingen","7",29
2021,11,"11","Rathaus","1",73,"73","Hirslanden","7",8
2021,11,"11","Rathaus","1",74,"74","Witikon","7",13
2021,11,"11","Rathaus","1",81,"81","Seefeld","8",32
2021,11,"11","Rathaus","1",82,"82","Mühlebach","8",17
2021,11,"11","Rathaus","1",83,"83","Weinegg","8",5
2021,11,"11","Rathaus","1",91,"91","Albisrieden","9",7
2021,11,"11","Rathaus","1",92,"92","Altstetten","9",17
2021,11,"11","Rathaus","1",101,"101","Höngg","10",12
2021,11,"11","Rathaus","1",102,"102","Wipkingen","10",16
2021,11,"11","Rathaus","1",111,"111","Affoltern","11",8
2021,11,"11","Rathaus","1",115,"115","Oerlikon","12",21
2021,11,"11","Rathaus","1",119,"119","Seebach","12",13
2021,11,"11","Rathaus","1",121,"121","Saatlen","12",2
2021,11,"11","Rathaus","1",122,"122","Schwamendingen-Mitte","12",3
2021,11,"11","Rathaus","1",123,"123","Hirzenbach","12",3
2021,12,"12","Hochschulen","1",11,"11","Rathaus","1",5
2021,12,"12","Hochschulen","1",12,"12","Hochschulen","1",14
2021,12,"12","Hochschulen","1",13,"13","Lindenhof","1",3
2021,12,"12","Hochschulen","1",14,"14","City","1",1
2021,12,"12","Hochschulen","1",21,"21","Wollishofen","2",4
2021,12,"12","Hochschulen","1",23,"23","Leimbach","2",0
